Tempo (s),Y,Set Point
120.3164267539978,40.53,38
120.41678500175476,40.53,38
120.51829719543457,40.53,38
120.61927056312561,40.53,38
120.72009563446045,40.53,38
120.8215765953064,40.53,38
120.92212772369385,40.04,38
121.02326488494873,40.04,38
121.12484908103943,40.04,38
121.22559714317322,40.04,38
121.32639932632446,40.53,38
121.42697477340698,40.53,38
121.52838182449341,40.53,38
121.62967109680176,40.04,38
121.7308418750763,40.04,38
121.83148121833801,40.04,38
121.93254613876343,40.04,38
122.03373742103577,40.04,38
122.13442492485046,39.55,38
122.2355329990387,40.04,38
122.336660861969,40.04,38
122.43802666664124,40.04,38
122.53932929039001,40.04,38
122.64007592201233,40.04,38
122.74135160446167,40.04,38
122.84236311912537,40.04,38
122.94353723526001,40.04,38
123.04440307617188,40.04,38
123.14489936828613,39.55,38
123.24553227424622,40.04,38
123.34650158882141,40.04,38
123.4476432800293,40.04,38
123.54838418960571,39.55,38
123.64901041984558,39.55,38
123.74946546554565,39.55,38
123.85022926330566,39.55,38
123.9513041973114,39.55,38
124.05180811882019,39.55,38
124.15287685394287,39.55,38
124.35556840896606,39.55,50
124.35556840896606,39.55,50
124.45625138282776,39.55,50
124.55753874778748,40.04,50
124.65907669067383,39.55,50
124.75966286659241,40.04,50
124.86086392402649,39.55,50
124.96203422546387,39.55,50
125.06262135505676,39.55,50
125.16442632675171,39.55,50
125.26454615592957,39.55,50
125.36549186706543,39.55,50
125.46677827835083,39.55,50
125.56821703910828,39.55,50
125.66938018798828,39.06,50
125.7711935043335,39.55,50
125.87141585350037,39.55,50
125.97276473045349,39.06,50
126.07416129112244,39.06,50
126.17454719543457,39.06,50
126.27505898475647,39.06,50
126.37597823143005,39.06,50
126.47736668586731,39.06,50
126.57847785949707,39.06,50
126.67927289009094,39.06,50
126.78022694587708,39.06,50
126.88117909431458,39.55,50
126.98221969604492,39.06,50
127.08328056335449,39.06,50
127.18425107002258,39.55,50
127.28529214859009,39.06,50
127.38630175590515,39.06,50
127.48762893676758,39.06,50
127.58891296386719,39.06,50
127.69007062911987,39.06,50
127.79124069213867,39.06,50
127.89236688613892,39.06,50
127.99300479888916,39.06,50
128.09435844421387,40.04,50
128.19518661499023,39.06,50
128.29575514793396,39.06,50
128.39669752120972,39.06,50
128.49807572364807,39.06,50
128.59914994239807,39.06,50
128.70027351379395,39.06,50
128.80154943466187,39.06,50
128.90252041816711,39.06,50
129.0032501220703,39.06,50
129.10385608673096,39.06,50
129.20491790771484,39.06,50
129.3058307170868,39.06,50
129.40691995620728,39.06,50
129.50731325149536,39.06,50
129.6080584526062,39.06,50
129.70898246765137,39.06,50
129.81016659736633,38.57,50
129.91155457496643,39.06,50
130.01285767555237,39.55,50
130.11366963386536,39.06,50
130.21412992477417,39.06,50
130.31470680236816,39.06,50
130.4160656929016,39.06,50
130.51748418807983,39.06,50
130.61836457252502,39.06,50
130.71988153457642,39.06,50
130.82053542137146,39.06,50
130.92067551612854,39.06,50
131.0214283466339,39.55,50
131.12265181541443,39.06,50
131.22371411323547,39.06,50
131.32495880126953,39.06,50
131.42573261260986,39.06,50
131.52630424499512,39.06,50
131.62710237503052,39.55,50
131.72788190841675,39.06,50
131.8289544582367,39.06,50
131.93045377731323,39.55,50
132.03124690055847,39.06,50
132.13181924819946,39.55,50
132.23340034484863,39.06,50
132.3339295387268,39.55,50
132.43494510650635,39.55,50
132.53625655174255,39.55,50
132.63696575164795,39.06,50
132.737557888031,39.55,50
132.83844804763794,39.55,50
132.93902134895325,39.55,50
133.04008650779724,39.55,50
133.14185881614685,39.55,50
133.24274587631226,39.55,50
133.34412670135498,39.55,50
133.4453830718994,39.55,50
133.54636907577515,39.55,50
133.64688229560852,39.55,50
133.7480001449585,39.55,50
133.84926462173462,39.55,50
133.9500012397766,39.55,50
134.051513671875,39.55,50
134.152015209198,39.06,50
134.25291347503662,39.55,50
134.353759765625,39.55,50
134.4551124572754,39.55,50
134.55658102035522,39.55,50
134.6572299003601,39.55,50
134.75879454612732,39.55,50
134.86003947257996,40.04,50
134.9605474472046,40.04,50
135.0618381500244,40.53,50
135.16234946250916,39.55,50
135.26340341567993,39.55,50
135.36414527893066,39.55,50
135.4649679660797,40.04,50
135.56570863723755,39.55,50
135.6671781539917,40.04,50
135.76810789108276,39.06,50
135.8692615032196,39.55,50
135.9705605506897,40.04,50
136.0716109275818,40.04,50
136.1726472377777,40.04,50
136.27374172210693,40.04,50
